Parameter,Value
Hostname,hp
OS Info,"Arch Linux, Kernel: 6.14.3-arch1-1"
glibc Version,2.41
CPU Model,Intel(R) Core(TM) i5-5300U CPU @ 2.30GHz
CPU Vendor,GenuineIntel
CPU Flags,3dnowprefetch abm acpi adx aes aperfmperf apic arat arch_perfmon avx avx2 bmi1 bmi2 bts clflush cmov constant_tsc cpuid cpuid_fault cx16 cx8 de ds_cpl dtes64 dtherm dts epb erms est f16c flush_l1d fma fpu fsgsbase fxsr hle ht ibpb ibrs ida intel_pt invpcid lahf_lm lm mca mce md_clear mmx monitor movbe msr mtrr nonstop_tsc nopl nx osxsave pae pat pbe pcid pclmulqdq pdcm pdpe1gb pebs pge pln pni popcnt pse pse36 pti pts rdrand rdrnd rdseed rdtscp rep_good rtm sdbg sep smap smep smx ss ssbd sse sse2 sse4_1 sse4_2 ssse3 stibp syscall tm tm2 tsc tsc_adjust tsc_deadline_timer tscdeadline vme vmx x2apic xsave xsaveopt xtopology xtpr
Logical Cores,4
Physical Cores,2
Base Frequency (MHz),500.0
Boost Frequency (MHz),2900.0
Chipset,225A
L1d Cache,64 KiB (2 instances)
L1i Cache,64 KiB (2 instances)
L2 Cache,512 KiB (2 instances)
L3 Cache,3 MiB (1 instance)
OpenMP Version,4.5
Total RAM (GB),15.49
RAM Speed,N/A
RAM CAS Latency,N/A
CUDA Capable Device,N/A
CUDA Version,N/A
AVX Supported,Yes
SSE Supported,Yes
